"","Time_Step","B_CL2_VAL_prob","B_TURB_VAL_prob","B_PH_VAL_prob","B_TOC_VAL_prob","B_COND_VAL_prob","B_TEMP_VAL_prob","B_PRES_OP_prob","B_PLNT_PRES_OP_prob","B_PLNT_PH_VAL_prob","B_PLNT_TURB_VAL_prob","B_PLNT_FLOW_OP_prob","B_PLNT_CL2_VAL_prob","Event_Column"
"1","02/21/2006 00:00:00",5.27922158332084e-05,0.00494862306963306,2.23458193060466e-08,1.99745775475435e-11,0,0,0,0,5.86850494865843e-08,8.82552177228213e-07,0,2.24265050974282e-14,0
"2","02/21/2006 00:20:00",5.27922158332084e-05,0.00243540695650091,2.23458193060466e-08,1.99745775475435e-11,0,0,0,0,5.86850494865843e-08,9.7537099996714e-07,0,3.13082892944294e-14,0
"3","02/21/2006 00:40:00",3.78272755990894e-05,0.00385309092700092,1.60114792535637e-08,1.99745775475435e-11,0,0,0,0,5.86850494865843e-08,9.12466383451438e-07,0,3.13082892944294e-14,0
"4","02/21/2006 01:00:00",3.78272755990894e-05,0.00339994349206263,1.60114792535637e-08,1.99745775475435e-11,0,0,0,0,5.86850494865843e-08,8.82552177228213e-07,0,3.13082892944294e-14,0
"5","02/21/2006 01:20:00",2.71044273604248e-05,0.00253912488480146,1.60114792535637e-08,1.99745775475435e-11,0,0,0,0,4.20496754083288e-08,7.9856623325103e-07,0,4.37427871702312e-14,0
"6","02/21/2006 01:40:00",2.71044273604248e-05,0.00339994349206263,1.60114792535637e-08,1.99745775475435e-11,0,0,0,0,4.20496754083288e-08,3.83555595173668e-07,0,2.24265050974282e-14,0
"7","02/21/2006 02:00:00",2.71044273604248e-05,0.00287754166473386,2.23458193060466e-08,1.99745775475435e-11,0,0,0,0,4.20496754083288e-08,6.98883860894561e-07,0,4.37427871702312e-14,0
"8","02/21/2006 02:20:00",1.94211708589576e-05,0.00635564297579794,2.23458193060466e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,9.7537099996714e-07,0,6.09512440519211e-14,0
"9","02/21/2006 02:40:00",9.97116159062728e-06,0.0113955362607548,2.23458193060466e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,8.82552177228213e-07,0,6.09512440519211e-14,0
"10","02/21/2006 03:00:00",7.14464948248228e-06,0.012386819427688,3.11861030333205e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,8.82552177228213e-07,0,6.09512440519211e-14,0
"11","02/21/2006 03:20:00",5.11936505731558e-06,0.0273588399615214,3.11861030333205e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,8.82552177228213e-07,0,6.09512440519211e-14,0
"12","02/21/2006 03:40:00",3.66818535380009e-06,0.0159087084993728,3.11861030333205e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,9.43394535046771e-07,0,6.09512440519211e-14,0
"13","02/21/2006 04:00:00",2.62836965903013e-06,0.0213021069791897,4.35237129670085e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,9.43394535046771e-07,0,4.37427871702312e-14,0
"14","02/21/2006 04:20:00",5.11936505731558e-06,0.0323256865461099,4.35237129670085e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,9.43394535046771e-07,0,4.37427871702312e-14,0
"15","02/21/2006 04:40:00",7.36774723647526e-05,0.0285239849464043,3.11861030333205e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,8.53618675300538e-07,0,4.37427871702312e-14,0
"16","02/21/2006 05:00:00",2.71044273604248e-05,0.0809139100894181,3.11861030333205e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,7.72386118175206e-07,0,8.51541059887495e-14,0
"17","02/21/2006 05:20:00",0.000143504120983629,0.0134643330531586,3.11861030333205e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,6.75971722596813e-07,0,3.13082892944294e-14,0
"18","02/21/2006 05:40:00",0.000759781140749372,0.012386819427688,2.23458193060466e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,8.25633726386776e-07,0,2.24265050974282e-14,0
"19","02/21/2006 06:00:00",0.00147985159158881,0.00560817986983164,1.60114792535637e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,1.07795166348623e-06,0,1.60982338570648e-14,0
"20","02/21/2006 06:20:00",0.00147985159158881,0.00750947492377541,1.14727262134906e-08,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,1.40737926701551e-06,0,3.13082892944294e-14,0
"21","02/21/2006 06:40:00",0.00206529926850485,0.0996748949344424,8.22056756000222e-09,1.99745775475435e-11,0,0,0,0,3.01299090121887e-08,1.23170078425439e-06,0,3.13082892944294e-14,0
"22","02/21/2006 07:00:00",0.00288235732064657,0.047050087319763,5.8902940303085e-09,1.99745775475435e-11,0,0,0,0,2.15890232357907e-08,1.1913208295411e-06,0,3.13082892944294e-14,0
"23","02/21/2006 07:20:00",0.00288235732064657,0.0273588399615214,4.22058010762782e-09,1.99745775475435e-11,0,0,0,0,2.15890232357907e-08,1.40737926701551e-06,0,2.24265050974282e-14,0
"24","02/21/2006 07:40:00",0.00288235732064657,0.0195973578148094,4.22058010762782e-09,1.99745775475435e-11,0,0,0,0,2.15890232357907e-08,1.27344942213448e-06,0,1.60982338570648e-14,0
"25","02/21/2006 08:00:00",0.00288235732064657,0.157697025664028,4.22058010762782e-09,1.99745775475435e-11,0,0,9.54046484813453e-07,0,2.15890232357907e-08,1.04261220446045e-06,0,1.60982338570648e-14,0
